Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 0min_untreated	Peptides 15min_untreated	Peptides 180min_untreated	Peptides 30min_untreated	Peptides 60min_untreated	Razor + unique peptides 0min_untreated	Razor + unique peptides 15min_untreated	Razor + unique peptides 180min_untreated	Razor + unique peptides 30min_untreated	Razor + unique peptides 60min_untreated	Unique peptides 0min_untreated	Unique peptides 15min_untreated	Unique peptides 180min_untreated	Unique peptides 30min_untreated	Unique peptides 60min_untreated	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Slice average	Slice 1	Experiment 0min_untreated	Experiment 15min_untreated	Experiment 180min_untreated	Experiment 30min_untreated	Experiment 60min_untreated	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L 0min_untreated	Ratio H/L normalized 0min_untreated	Ratio H/L variability [%] 0min_untreated	Ratio H/L count 0min_untreated	Ratio H/L 15min_untreated	Ratio H/L normalized 15min_untreated	Ratio H/L variability [%] 15min_untreated	Ratio H/L count 15min_untreated	Ratio H/L 180min_untreated	Ratio H/L normalized 180min_untreated	Ratio H/L variability [%] 180min_untreated	Ratio H/L count 180min_untreated	Ratio H/L 30min_untreated	Ratio H/L normalized 30min_untreated	Ratio H/L variability [%] 30min_untreated	Ratio H/L count 30min_untreated	Ratio H/L 60min_untreated	Ratio H/L normalized 60min_untreated	Ratio H/L variability [%] 60min_untreated	Ratio H/L count 60min_untreated	Sequence coverage 0min_untreated [%]	Sequence coverage 15min_untreated [%]	Sequence coverage 180min_untreated [%]	Sequence coverage 30min_untreated [%]	Sequence coverage 60min_untreated [%]	Intensity	Intensity L	Intensity H	Intensity 0min_untreated	Intensity L 0min_untreated	Intensity H 0min_untreated	Intensity 15min_untreated	Intensity L 15min_untreated	Intensity H 15min_untreated	Intensity 180min_untreated	Intensity L 180min_untreated	Intensity H 180min_untreated	Intensity 30min_untreated	Intensity L 30min_untreated	Intensity H 30min_untreated	Intensity 60min_untreated	Intensity L 60min_untreated	Intensity H 60min_untreated	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P42073	P42073	3	3	3	RNA end formation protein 2	REF2	>sp|P42073|REF2_YEAST RNA end formation protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REF2 PE=1 SV=2	1	3	3	3	0	3	0	0	0	0	3	0	0	0	0	3	0	0	0	8.4	8.4	8.4	59.818	533	533	1	4		4				2.03E-08	0.22795	1.0293	52.839	4	NaN	NaN	NaN	0	0.22795	1.0293	52.839	4	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	8.4	0	0	0	4242100	3479000	763120	0	0	0	4242100	3479000	763120	0	0	0	0	0	0	0	0	0				1034	3566;4426;6375	True;True;True	3663;4548;6600	39581;49926;70165;70166	92023;115052;162940;162941;162942;162943	92023;115052;162940		
P42826	P42826	2	2	2	Xylulose kinase	XKS1	>sp|P42826|XKS1_YEAST Xylulose kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=XKS1 PE=1 SV=2	1	2	2	2	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	3.8	3.8	3.8	68.32	600	600	1	2	1		1			4.60E-08	NaN	NaN	NaN	1	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	1.3	0	2.5	0	0	437780	120130	317650	437780	120130	317650	0	0	0	0	0	0	0	0	0	0	0	0				1035	1372;3551	True;True	1409;3648	16097;39455	37696;91661	37696;91661		
P42838	P42838	1	1	1	Alkylphosphocholine resistance protein LEM3	LEM3	>sp|P42838|LEM3_YEAST Alkylphosphocholine resistance protein LEM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEM3 PE=1 SV=1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	2.7	2.7	2.7	47.437	414	414	1	7	2	3	1	1		0.00012814	0.38438	0.46273	83.991	5	0.3741	0.42374	10.613	2	0.39757	1.1563	129.52	2	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	2.7	2.7	2.7	2.7	0	3298200	2698600	599540	836520	677480	159050	1943100	1588500	354610	0	0	0	518520	432640	85877	0	0	0				1036	3863	TRUE	3971	42898;42899;42900;42901;42902;42903;42904	99699;99700;99701;99702;99703;99704;99705;99706	99702		
P42842	P42842	3	3	3	Essential for maintenance of the cell wall protein 1	EMW1	>sp|P42842|EMW1_YEAST Essential for maintenance of the cell wall protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMW1 PE=1 SV=1	1	3	3	3	1	3	1	1	1	1	3	1	1	1	1	3	1	1	1	3.5	3.5	3.5	102.34	904	904	1	12	1	3	2	3	3	1.45E-07	0.35504	0.94827	48.838	8	NaN	NaN	NaN	1	NaN	NaN	NaN	1	0.46711	0.96145	2.8476	2	0.14812	0.88007	38.104	3	NaN	NaN	NaN	1	1.2	3.5	1.4	1.2	1.2	6440600	4709000	1731600	212300	165410	46889	800470	532960	267510	3269300	2244400	1024800	1741200	1470300	270920	417440	295950	121490				1037	5018;5176;8029	True;True;True	5166;5339;8315	56008;56009;56010;58896;90998;90999;91000;91001;91002;91003;91004;91005	129679;129680;129681;129682;129683;129684;129685;129686;129687;129688;136760;212275;212276;212277;212278;212279;212280;212281;212282;212283	129681;136760;212278		
P42846	P42846	2	2	2	Protein KRI1	KRI1	>sp|P42846|KRI1_YEAST Protein KRI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRI1 PE=1 SV=1	1	2	2	2	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	5.9	5.9	5.9	68.653	591	591	1	12	2	3	1	3	3	2.16E-15	0.94298	5.2011	77.069	11	NaN	NaN	NaN	1	0.87054	5.8221	97.601	3	NaN	NaN	NaN	1	0.76266	5.2011	47.803	3	1.133	6.2825	19.001	3	4.2	5.9	4.2	4.2	4.2	18307000	12902000	5405300	1594600	1046300	548280	5716900	4393000	1323900	1259900	902830	357090	3936100	2803300	1132800	5799300	3756100	2043200				1038	4892;5694	True;True	5033;5902	54686;64397;64398;64399;64400;64401;64402;64403;64404;64405;64406;64407	126502;126503;149122;149123;149124;149125;149126;149127;149128;149129;149130;149131;149132;149133;149134;149135;149136;149137;149138;149139;149140;149141;149142;149143;149144;149145;149146;149147	126502;149126		
P42935	P42935	4	4	4	Elongator complex protein 2	ELP2	>sp|P42935|ELP2_YEAST Elongator complex protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ELP2 PE=1 SV=1	1	4	4	4	0	3	1	1	3	0	3	1	1	3	0	3	1	1	3	7	7	7	89.409	788	788	1	12		4	1	3	4	4.76E-14	0.35977	1.7566	114.54	11	NaN	NaN	NaN	0	0.21364	1.5552	112.34	3	NaN	NaN	NaN	1	0.44879	2.5681	148.18	3	0.31827	1.3151	31.908	4	0	5.3	1.6	1.6	4.8	34010000	21312000	12698000	0	0	0	6175600	5211000	964690	2570300	1767400	802840	12684000	5062000	7622200	12580000	9271900	3308400				1039	4165;5723;6511;8055	True;True;True;True	4277;5932;6742;8341	45724;45725;45726;45727;45728;45729;64681;64682;71565;71566;91110;91111	105991;105992;105993;105994;105995;105996;105997;105998;105999;106000;106001;106002;149808;149809;166568;166569;166570;166571;212528;212529;212530	105993;149808;166571;212529		
P42938	P42938	1	1	1	Probable ATP-dependent kinase TDA10	TDA10	>sp|P42938|TDA10_YEAST Probable ATP-dependent kinase TDA10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDA10 PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	2.8	2.8	2.8	33.336	290	290	1	1					1	0.0013014	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	0	0	0	0	2.8	848480	712650	135840	0	0	0	0	0	0	0	0	0	0	0	0	848480	712650	135840				1040	5088	TRUE	5238	57826	134140	134140		
P42940	P42940	5	5	5	Probable electron transfer flavoprotein subunit beta	CIR1	>sp|P42940|ETFB_YEAST Probable electron transfer flavoprotein subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CIR1 PE=1 SV=1	1	5	5	5	3	3	2	2	4	3	3	2	2	4	3	3	2	2	4	34.1	34.1	34.1	28.758	261	261	1	18	6	3	3	2	4	2.49E-44	0.41554	1.5629	87.944	16	0.32239	0.34808	39.351	5	0.28444	1.5318	18.693	3	0.89118	1.651	4.9019	2	0.43305	2.5398	17.706	2	0.45215	1.8166	47.907	4	25.7	25.7	12.6	19.5	25.3	34116000	26850000	7266400	10397000	8649700	1747700	5321800	4184300	1137500	4673500	2976000	1697500	5662800	4339200	1323600	8060900	6700700	1360100				1041	1033;2227;2489;4662;5966	True;True;True;True;True	1058;2281;2549;4797;6181	13055;24371;24372;24373;24374;24375;27071;27072;27073;27074;27075;27076;52642;52643;66713;66714;66715;66716	30383;57233;57234;57235;57236;57237;57238;57239;57240;63774;63775;63776;63777;63778;63779;63780;63781;121208;121209;154587;154588;154589;154590;154591;154592;154593;154594	30383;57233;63779;121208;154588		
P42941	P42941	1	1	1	Phosphoserine phosphatase	SER2	>sp|P42941|SERB_YEAST Phosphoserine phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SER2 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.6	3.6	3.6	34.207	309	309	1	10	3	1	1	3	2	0.00092341	0.21207	0.73558	64.374	10	0.22965	0.26729	45.949	3	NaN	NaN	NaN	1	NaN	NaN	NaN	1	0.10607	0.71343	11.064	3	0.27345	1.1867	34.998	2	3.6	3.6	3.6	3.6	3.6	5258200	4469700	788500	912390	746780	165600	219310	196830	22484	470820	314900	155920	3381100	2985900	395190	274600	225280	49312				1042	7590	TRUE	7857	86202;86203;86204;86205;86206;86207;86208;86209;86210;86211	200440;200441;200442;200443;200444;200445;200446;200447;200448;200449;200450;200451;200452;200453;200454	200449		
P42943	P42943	7	7	7	T-complex protein 1 subunit eta	CCT7	>sp|P42943|TCPH_YEAST T-complex protein 1 subunit eta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCT7 PE=1 SV=1	1	7	7	7	4	6	4	2	3	4	6	4	2	3	4	6	4	2	3	17.3	17.3	17.3	59.735	550	550	1	47	9	12	11	11	4	7.20E-98	0.28942	0.85321	91.868	39	0.10233	0.11905	80.923	8	0.31293	1.0352	66.375	12	0.50748	0.86393	15.148	11	0.11752	0.95453	39.457	4	0.16577	0.94043	22.458	4	8.7	15.6	8	3.8	6.7	128810000	98965000	29843000	24512000	21141000	3371100	38449000	30092000	8356600	40991000	26493000	14498000	12487000	10765000	1722000	12370000	10475000	1895100				1043	2323;3384;4677;6223;7437;7790;9057	True;True;True;True;True;True;True	2381;3477;4813;6446;7701;8065;9382	25625;25626;25627;25628;25629;25630;37854;37855;52791;69078;69079;69080;69081;69082;83377;83378;83379;83380;83381;83382;83383;83384;83385;87891;87892;87893;87894;87895;87896;87897;87898;87899;87900;87901;87902;87903;87904;87905;87906;87907;87908;104235;104236;104237;104238;104239;104240	60385;60386;60387;60388;60389;60390;60391;87655;87656;121623;121624;160307;160308;160309;160310;160311;160312;160313;194104;194105;194106;194107;194108;194109;194110;194111;194112;194113;204396;204397;204398;204399;204400;204401;204402;204403;204404;204405;204406;204407;204408;204409;204410;204411;204412;204413;204414;204415;204416;204417;204418;204419;204420;204421;245505;245506;245507;245508;245509;245510;245511	60389;87655;121624;160311;194105;204412;245505		
P42945	P42945	3	3	3	U3 small nucleolar RNA-associated protein 10	UTP10	>sp|P42945|UTP10_YEAST U3 small nucleolar RNA-associated protein 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP10 PE=1 SV=1	1	3	3	3	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	2.4	2.4	2.4	200.08	1769	1769	1	3	1	1	1			3.98E-06	0.22985	1.6732	136.68	3	NaN	NaN	NaN	1	NaN	NaN	NaN	1	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	1.2	0.4	0.8	0	0	2589400	1772300	817070	1113000	963590	149380	341210	306490	34724	1135200	502260	632970	0	0	0	0	0	0				1044	4177;7029;8659	True;True;True	4289;7279;8968	45824;78807;98955	106190;182873;232681;232682	106190;182873;232682		
P42949	P42949	2	2	2	Mitochondrial import inner membrane translocase subunit TIM16	PAM16	>sp|P42949|TIM16_YEAST Mitochondrial import inner membrane translocase subunit TIM16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAM16 PE=1 SV=1	1	2	2	2	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	24.2	24.2	24.2	16.216	149	149	1	5		1	1	3		5.31E-08	0.15846	0.71292	146.64	5	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	1	0.096489	0.52113	20.435	3	NaN	NaN	NaN	0	0	6	18.1	18.1	0	2077200	1344400	732840	0	0	0	1082300	479900	602390	121080	69706	51375	873870	794790	79079	0	0	0				1045	230;2474	True;True	237;2532	3122;3123;3124;3125;26945	7675;7676;7677;7678;7679;7680;7681;7682;7683;7684;63465	7677;63465		
P43122	P43122	1	1	1	"Probable tRNA threonylcarbamoyladenosine biosynthesis protein QRI7, mitochondrial"	QRI7	">sp|P43122|QRI7_YEAST Probable tRNA threonylcarbamoyladenosine biosynthesis protein QRI7, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QRI7 PE=1 SV=1"	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	3.9	3.9	3.9	45.543	407	407	1	1			1			0.0049357	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	3.9	0	0	4737300	3040500	1696800	0	0	0	0	0	0	4737300	3040500	1696800	0	0	0	0	0	0	+			1046	2603	TRUE	2669	28179	66542	66542	219	118
P43123	P43123	5	5	5	UDP-N-acetylglucosamine pyrophosphorylase	QRI1	>sp|P43123|UAP1_YEAST UDP-N-acetylglucosamine pyrophosphorylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QRI1 PE=1 SV=1	1	5	5	5	3	5	2	4	4	3	5	2	4	4	3	5	2	4	4	14.3	14.3	14.3	53.475	477	477	1	38	3	10	9	8	8	9.17E-98	0.22256	1.1406	80.032	29	0.091524	0.088328	33.803	2	0.16655	1.1302	35.378	7	0.66738	1.151	4.4929	6	0.11155	0.93829	48.062	7	0.25357	1.5295	56.375	7	8.6	14.3	4.6	9.6	11.7	74467000	59178000	15289000	7641600	6894100	747430	16221000	13106000	3115500	17795000	11287000	6508000	20580000	18056000	2523600	12229000	9835100	2394200				1047	1219;1274;4428;4875;6767	True;True;True;True;True	1251;1308;4550;5016;7004	14417;14418;14419;14420;14421;14422;14423;14840;14841;14842;14843;49932;49933;49934;49935;49936;49937;49938;49939;49940;49941;49942;54520;54521;54522;54523;54524;54525;54526;54527;54528;74006;74007;74008;74009;74010;74011;74012	33846;33847;33848;33849;33850;33851;33852;33853;33854;33855;33856;33857;34907;34908;34909;34910;34911;34912;34913;115061;115062;115063;115064;115065;115066;115067;115068;115069;115070;115071;115072;115073;115074;115075;115076;115077;115078;115079;115080;115081;125982;125983;125984;125985;125986;125987;125988;125989;125990;125991;125992;125993;125994;125995;125996;125997;125998;125999;172254;172255;172256;172257;172258;172259;172260;172261;172262;172263;172264	33857;34912;115063;125994;172262		
P43321	P43321	1	1	1	Small nuclear ribonucleoprotein Sm D3	SMD3	>sp|P43321|SMD3_YEAST Small nuclear ribonucleoprotein Sm D3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SMD3 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.9	8.9	8.9	11.224	101	101	1	14	3	3	3	3	2	0.0022771	0.19778	1.1477	68.421	12	NaN	NaN	NaN	1	0.20498	1.3281	64.121	3	0.75851	1.2234	6.3907	3	0.13614	0.92362	14.06	3	0.19778	1.0182	16.882	2	8.9	8.9	8.9	8.9	8.9	31948000	25822000	6125800	7569700	7404200	165540	7150900	5879600	1271300	6143100	3415900	2727200	5132500	4444400	688090	5952000	4678300	1273700				1048	2075	TRUE	2127	23222;23223;23224;23225;23226;23227;23228;23229;23230;23231;23232;23233;23234;23235	54416;54417;54418;54419;54420;54421;54422;54423;54424;54425;54426;54427;54428;54429;54430;54431;54432;54433;54434;54435;54436;54437;54438;54439	54436		
P43555	P43555	6	6	6	Protein EMP47	EMP47	>sp|P43555|EMP47_YEAST Protein EMP47 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMP47 PE=1 SV=1	1	6	6	6	4	3	1	4	4	4	3	1	4	4	4	3	1	4	4	20.2	20.2	20.2	50.33	445	445	1	27	6	7	3	4	7	5.27E-26	0.21331	0.86686	94.238	27	0.2517	0.2851	66.072	6	0.13869	0.90992	77.469	7	0.66871	1.1577	2.2203	3	0.29868	1.7799	152.26	4	0.18345	0.86686	39.201	7	15.3	11.9	2.7	15.1	11.9	132720000	104350000	28371000	20397000	17790000	2607800	55456000	46125000	9331000	20081000	12252000	7829800	17252000	11745000	5506500	19532000	16436000	3095700				1049	1029;3238;3239;4850;5330;6140	True;True;True;True;True;True	1053;3324;3325;4991;5518;6361	13019;13020;35762;35763;35764;35765;35766;35767;35768;35769;35770;35771;35772;35773;35774;35775;54281;54282;54283;54284;60525;68424;68425;68426;68427;68428;68429	30298;30299;30300;83546;83547;83548;83549;83550;83551;83552;83553;83554;83555;83556;83557;83558;83559;83560;83561;83562;83563;83564;83565;83566;83567;83568;83569;83570;83571;83572;83573;83574;83575;83576;125318;125319;125320;125321;125322;125323;125324;125325;140443;158626;158627;158628;158629;158630;158631;158632;158633	30299;83570;83574;125324;140443;158633		
P43556	P43556	1	1	1	Rho-GTPase-activating protein RGD2	RGD2	>sp|P43556|RGD2_YEAST Rho-GTPase-activating protein RGD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RGD2 PE=1 SV=1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	2	2	2	82.208	714	714	1	2		1			1	2.26E-20	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	0	2	0	0	2	152480	149140	3337.3	0	0	0	123310	123310	0	0	0	0	0	0	0	29172	25834	3337.3				1050	776	TRUE	799	10254;10255	24037;24038;24039	24038		
P43557	P43557	1	1	1	"Protein FMP32, mitochondrial"	FMP32	">sp|P43557|FMP32_YEAST Protein FMP32, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP32 PE=1 SV=1"	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	3.4	3.4	3.4	24.018	207	207	1	3		1		1	1	0.0021872	0.2102	1.5302	29.456	3	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	1	0	3.4	0	3.4	3.4	3083800	2455700	628050	0	0	0	1098400	931880	166570	0	0	0	1634100	1237800	396260	351240	286010	65222				1051	4032	TRUE	4144	44519;44520;44521	103320;103321;103322	103322		
P43561	P43561	1	1	1	Iron transport multicopper oxidase FET5	FET5	>sp|P43561|FET5_YEAST Iron transport multicopper oxidase FET5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FET5 PE=1 SV=1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1.9	1.9	1.9	70.879	622	622	1	7	3	1	2		1	0.00036365	0.2501	1.1772	129.72	7	0.10991	0.12793	58.013	3	NaN	NaN	NaN	1	0.71188	1.2021	2.9616	2	NaN	NaN	NaN	0	NaN	NaN	NaN	1	1.9	1.9	1.9	0	1.9	21175000	15778000	5396900	8702900	8067000	635930	1782800	1055800	726990	6386200	3392900	2993300	0	0	0	4303400	3262600	1040800				1052	8484	TRUE	8785	97342;97343;97344;97345;97346;97347;97348	228801;228802;228803;228804;228805;228806;228807;228808	228804		
P43563	P43563	2	2	2	CBK1 kinase activator protein MOB2	MOB2	>sp|P43563|MOB2_YEAST CBK1 kinase activator protein MOB2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MOB2 PE=1 SV=2	1	2	2	2	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	12.9	12.9	12.9	33.275	287	287	1	6	3	2			1	1.05E-15	0.30852	0.40358	82.195	6	0.32274	0.37535	11.831	3	0.16317	0.47458	72.586	2	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	4.9	8	0	0	4.9	4629900	3479900	1150000	2967900	2131000	836860	941170	861940	79226	0	0	0	0	0	0	720840	486950	233890				1053	1653;7153	True;True	1700;7405	18488;18489;18490;18491;80237;80238	43795;43796;43797;43798;43799;43800;43801;186407;186408;186409;186410;186411	43797;186408		
P43573	P43573	2	2	2	Bud site selection protein 27	BUD27	>sp|P43573|BUD27_YEAST Bud site selection protein 27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD27 PE=1 SV=1	1	2	2	2	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	2.3	2.3	2.3	91.421	796	796	1	6		1		5		1.18E-140	0.49903	0.58968	82.295	3	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0.49903	0.58968	82.295	3	NaN	NaN	NaN	0	0	1.6	0	2.3	0	1959800	1398000	561880	0	0	0	0	0	0	0	0	0	1959800	1398000	561880	0	0	0				1054	5134;5135	True;True	5286;5287	58225;58226;58227;58228;58229;58230	135092;135093;135094;135095;135096;135097;135098	135092;135095		
P43577	P43577	2	2	2	Glucosamine 6-phosphate N-acetyltransferase	GNA1	>sp|P43577|GNA1_YEAST Glucosamine 6-phosphate N-acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GNA1 PE=1 SV=1	1	2	2	2	1	1	2	2	1	1	1	2	2	1	1	1	2	2	1	17	17	17	18.135	159	159	1	14	2	2	4	4	2	2.00E-18	0.15484	0.79111	109.55	14	0.044795	0.047457	17.67	2	0.15005	0.52057	85.133	2	0.5649	0.9785	11.487	4	0.12784	0.8596	48.284	4	0.12586	0.71267	6.0523	2	9.4	9.4	17	17	9.4	36267000	29102000	7164600	8469400	7888500	580950	6617600	5747000	870570	11127000	6991400	4135900	5788000	4862000	925940	4264800	3613600	651220				1055	3373;8388	True;True	3465;8689	37749;37750;96279;96280;96281;96282;96283;96284;96285;96286;96287;96288;96289;96290	87437;87438;87439;87440;226150;226151;226152;226153;226154;226155;226156;226157;226158;226159;226160;226161;226162;226163;226164;226165;226166;226167;226168;226169;226170;226171;226172;226173	87437;226170		
P43579	P43579	1	1	1	Ino eighty subunit 1	IES1	>sp|P43579|IES1_YEAST Ino eighty subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IES1 PE=1 SV=1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	2.5	2.5	2.5	78.752	692	692	1	4	3				1	5.54E-41	0.31105	0.36962	142.1	3	0.19808	0.2203	73.187	2	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	2.5	0	0	0	2.5	2924400	2462600	461860	1916100	1699400	216740	0	0	0	0	0	0	0	0	0	1008300	763200	245110				1056	3052	TRUE	3135	33047;33048;33049;33050	77449;77450;77451;77452	77451		
P43582	P43582	4	4	4	WW domain-containing protein WWM1	WWM1	>sp|P43582|WWM1_YEAST WW domain-containing protein WWM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WWM1 PE=1 SV=1	1	4	4	4	3	3	3	4	3	3	3	3	4	3	3	3	3	4	3	35.1	35.1	35.1	22.655	211	211	1	80	15	20	16	13	16	0	0.21298	0.98746	97.838	58	0.10409	0.10045	60.438	9	0.18344	0.68281	99.119	13	0.57272	1.2113	10.692	13	0.12587	1.0826	24.04	9	0.20955	0.86855	39.067	14	33.6	33.6	33.6	35.1	33.6	254380000	216080000	38304000	62735000	60754000	1980800	57695000	50847000	6848500	50659000	30521000	20138000	35593000	32350000	3242700	47702000	41608000	6093500				1057	6167;7050;9152;9153	True;True;True;True	6389;7300;9480;9481	68620;68621;68622;68623;68624;68625;68626;68627;68628;68629;68630;68631;68632;68633;68634;68635;68636;68637;68638;68639;68640;68641;79021;105027;105028;105029;105030;105031;105032;105033;105034;105035;105036;105037;105038;105039;105040;105041;105042;105043;105044;105045;105046;105047;105048;105049;105050;105051;105052;105053;105054;105055;105056;105057;105058;105059;105060;105061;105062;105063;105064;105065;105066;105067;105068;105069;105070;105071;105072;105073;105074;105075;105076;105077;105078;105079;105080;105081;105082;105083	159143;159144;159145;159146;159147;159148;159149;159150;159151;159152;159153;159154;159155;159156;159157;159158;159159;159160;159161;159162;159163;159164;159165;159166;159167;159168;159169;159170;159171;159172;159173;159174;159175;159176;159177;159178;159179;159180;159181;159182;159183;159184;159185;159186;159187;159188;159189;159190;159191;159192;159193;159194;159195;159196;159197;159198;159199;159200;159201;159202;159203;159204;159205;159206;159207;159208;159209;159210;159211;159212;159213;159214;159215;159216;159217;159218;159219;159220;159221;159222;159223;183465;247440;247441;247442;247443;247444;247445;247446;247447;247448;247449;247450;247451;247452;247453;247454;247455;247456;247457;247458;247459;247460;247461;247462;247463;247464;247465;247466;247467;247468;247469;247470;247471;247472;247473;247474;247475;247476;247477;247478;247479;247480;247481;247482;247483;247484;247485;247486;247487;247488;247489;247490;247491;247492;247493;247494;247495;247496;247497;247498;247499;247500;247501;247502;247503;247504;247505;247506;247507;247508;247509;247510;247511;247512;247513;247514;247515;247516;247517;247518;247519;247520;247521;247522;247523;247524;247525;247526;247527;247528;247529;247530;247531;247532;247533;247534;247535;247536;247537;247538;247539;247540;247541;247542;247543;247544;247545;247546;247547;247548;247549;247550;247551;247552;247553;247554;247555;247556;247557;247558;247559;247560;247561;247562;247563;247564;247565;247566;247567;247568;247569;247570;247571;247572;247573;247574;247575;247576;247577;247578;247579;247580;247581;247582;247583;247584;247585;247586;247587;247588;247589;247590;247591;247592;247593;247594;247595	159216;183465;247462;247528		
